year,genre,name,num
2016,M,ALEX,215
2015,M,ALEX,223
2014,M,ALEX,201
2013,M,ALEX,157
2012,M,ALEX,180
2011,M,ALEX,156
2010,M,ALEX,125
2009,M,ALEX,134
2008,M,ALEX,131
2007,M,ALEX,122
2006,M,ALEX,124
2005,M,ALEX,100
2004,M,ALEX,112
2003,M,ALEX,87
2002,M,ALEX,79
2001,M,ALEX,53
2000,M,ALEX,58
2022,M,ALEXANDER,39
2021,M,ALEXANDER,33
2020,M,ALEXANDER,29
2019,M,ALEXANDER,34
2018,M,ALEXANDER,40
2017,M,ALEXANDER,42
2016,M,ALEXANDER,51
2015,M,ALEXANDER,38
2014,M,ALEXANDER,50
2013,M,ALEXANDER,46
2012,M,ALEXANDER,51
2011,M,ALEXANDER,43
2010,M,ALEXANDER,61
2009,M,ALEXANDER,45
2008,M,ALEXANDER,65
2007,M,ALEXANDER,61
2006,M,ALEXANDER,46
2005,M,ALEXANDER,42
2004,M,ALEXANDER,40
2003,M,ALEXANDER,33
2002,M,ALEXANDER,32
2001,M,ALEXANDER,26
2000,M,ALEXANDER,11
2022,M,ALEXANDRU,7
2021,M,ALEXANDRU,1
2020,M,ALEXANDRU,3
2019,M,ALEXANDRU,2
2018,M,ALEXANDRU,7
2017,M,ALEXANDRU,6
2016,M,ALEXANDRU,12
2015,M,ALEXANDRU,10
2014,M,ALEXANDRU,12
2013,M,ALEXANDRU,9
2012,M,ALEXANDRU,14
2011,M,ALEXANDRU,10
2010,M,ALEXANDRU,9
2009,M,ALEXANDRU,11
2008,M,ALEXANDRU,16
2007,M,ALEXANDRU,14
2006,M,ALEXANDRU,6
2005,M,ALEXANDRU,13
2004,M,ALEXANDRU,4
2003,M,ALEXANDRU,6
2002,M,ALEXANDRU,3
2001,M,ALEXANDRU,1
2000,M,ALEXANDRU,0
2022,M,ALEXANDRU GABRIEL,3
2021,M,ALEXANDRU GABRIEL,2
2020,M,ALEXANDRU GABRIEL,1
2019,M,ALEXANDRU GABRIEL,3
2018,M,ALEXANDRU GABRIEL,6
2017,M,ALEXANDRU GABRIEL,5
2016,M,ALEXANDRU GABRIEL,2
2015,M,ALEXANDRU GABRIEL,5
2014,M,ALEXANDRU GABRIEL,3
2013,M,ALEXANDRU GABRIEL,6
2012,M,ALEXANDRU GABRIEL,7
2011,M,ALEXANDRU GABRIEL,6
2010,M,ALEXANDRU GABRIEL,5
2009,M,ALEXANDRU GABRIEL,1
2008,M,ALEXANDRU GABRIEL,10
2007,M,ALEXANDRU GABRIEL,4
2006,M,ALEXANDRU GABRIEL,3
2005,M,ALEXANDRU GABRIEL,0
2004,M,ALEXANDRU GABRIEL,3
2003,M,ALEXANDRU GABRIEL,0
2002,M,ALEXANDRU GABRIEL,0
2001,M,ALEXANDRU GABRIEL,0
2000,M,ALEXANDRU GABRIEL,0
2022,M,ALEXIS,6
2021,M,ALEXIS,6
2020,M,ALEXIS,4
2019,M,ALEXIS,9
2018,M,ALEXIS,11
2017,M,ALEXIS,8
2016,M,ALEXIS,10
2015,M,ALEXIS,16
2014,M,ALEXIS,13
2013,M,ALEXIS,17
2012,M,ALEXIS,19
2011,M,ALEXIS,21
2010,M,ALEXIS,19
2009,M,ALEXIS,19
2008,M,ALEXIS,22
2007,M,ALEXIS,20
2006,M,ALEXIS,17
2005,M,ALEXIS,10
2004,M,ALEXIS,14
2003,M,ALEXIS,18
2002,M,ALEXIS,19
2001,M,ALEXIS,16
2000,M,ALEXIS,10
2022,M,ALFONSO,40
2021,M,ALFONSO,40
2020,M,ALFONSO,44
2019,M,ALFONSO,42
2018,M,ALFONSO,40
2017,M,ALFONSO,34
2016,M,ALFONSO,39
2015,M,ALFONSO,43
2014,M,ALFONSO,63
2013,M,ALFONSO,53
2012,M,ALFONSO,47
2011,M,ALFONSO,63
2010,M,ALFONSO,53
2009,M,ALFONSO,71
2008,M,ALFONSO,67
2007,M,ALFONSO,70
2006,M,ALFONSO,70
2005,M,ALFONSO,69
2004,M,ALFONSO,87
2003,M,ALFONSO,83
2002,M,ALFONSO,84
2001,M,ALFONSO,77
2000,M,ALFONSO,61
2022,M,ALFREDO,9
2021,M,ALFREDO,10
2020,M,ALFREDO,4
2019,M,ALFREDO,18
2018,M,ALFREDO,17
2017,M,ALFREDO,5
2016,M,ALFREDO,7
2015,M,ALFREDO,10
2014,M,ALFREDO,12
2013,M,ALFREDO,18
2012,M,ALFREDO,14
2011,M,ALFREDO,20
2010,M,ALFREDO,15
2009,M,ALFREDO,21
2008,M,ALFREDO,23
2007,M,ALFREDO,22
2006,M,ALFREDO,26
2005,M,ALFREDO,23
2004,M,ALFREDO,30
2003,M,ALFREDO,23
2002,M,ALFREDO,21
2001,M,ALFREDO,30
2000,M,ALFREDO,26
